Date,Location,Pint,Number,Cost (per pint),Company,Comments,Spend,Column 1,Column 2,Column 3
15/04/2025,"Mr Foggs Tavern, Covent Garden",Guinness,3,£7.80,"Kit, Tan, Robbie, James Hough, Ellen, Sarah, Bailey, Ruby",,£23.40,,,
15/04/2025,"Brother Marcus, Covent Garden",Gypsy King,1,£8.00,"Kit, Tan, Robbie, James Hough, Ellen, Sarah, Bailey, Ruby",,£8.00,,,
15/04/2025,"Two Brewers, Covent Garden",Guinness,2,£6.70,"Kit, Tan, Robbie, James Hough, Ellen, Sarah, Bailey, Ruby",,£13.40,,,
17/04/2025,"Signature Brew, Haggerston",Roadie,1,£6.80,Roisin,,£6.80,,,
17/04/2025,"The Dove, Broadway Market",Guinness,2,£6.70,Roisin,,£13.40,,,
18/04/2025,"Old Neptune, Whitstable",Whitstable Pale Ale,3,£5.90,"Anna, Timo, Finn",,£17.70,,,
18/04/2025,"The Duke of Cumberland, Whitstable",Whitstable stout,1,£6.50,"Anna, Timo, Finn",,£6.50,,,
18/04/2025,"Howl at the Moon, Hoxton",Guinness,4,£5.50,"Laurie, Roz, Mash",,£22.00,,,
19/04/2025,"Studio Voltaire, Clapham",Guinness,2.5,£0.00,Dan & Izzy's Wedding,,£0.00,,,
20/04/2025,"Duke of Wellington, Haggerston",Guinness,2,£6.00,Laurie,,£12.00,,,
23/04/2025,"Duke of Wellington, Haggerston",Guinness,3,£6.00,"Stan, Noah",,£18.00,,,
24/04/2025,"Hackney Church Brewery, Hackney",St Clements,4,£3.50,"Roisin, Anna, Finn",,£14.00,,,
25/04/2025,"Hackney Church Brewery, Hackney",Halo,5,£5.85,Marths Birthday,,£29.25,,,
26/04/2025,"Rosemary Branch, De Beauvoir ",Guinness,3,£6.60,"GB, Roisin",,£19.80,,,
26/04/2025,"Army & Navy, Dalston",Guinness,2,£5.20,"Roisin, Anna, Timo, Sam G, Nicola, Jono, Anastasiya",,£10.40,,,
26/04/2025,"Army & Navy, Dalston",Murphys,4,£5.00,"Roisin, Anna, Timo, Sam G, Nicola, Jono, Anastasiya, Al, G, ",,£20.00,,,
01/05/2025,"The Market Stores, Reigate",Guinness,1,£6.25,"Sam, Hayden, Matt O",Hayden's first pint back,£6.25,,,
01/05/2025,"The Red Cross, Reigate",Guinness,1,£5.00,"Sam, Hayden, Matt O",,£5.00,,,
01/05/2025,"The Bull's Head, Reigate",Guinness,1,£6.25,"Sam, Hayden, Matt O",,£6.25,,,
02/05/2025,"The Red Lion, Gatwick",Guinness,2,£6.90,"Sam, Hayden, Matt O, James R, Matt M, Jonny, Charlie M, Tim, Dave M",,£13.80,,,
02/05/2025,"Tholos, Chania, Crete",Alfa,3,£4.24,"Sam, Hayden, Matt O, James R, Matt M, Jonny, Charlie M, Tim, Dave M, Jack, Sam G",,£12.72,,,
02/05/2025,"Avalon Rock Pub, Chania",House lager,1,£4.24,"Sam, Hayden, Matt O, James R, Matt M, Jonny, Charlie M, Tim, Dave M, Jack, Sam G",,£4.24,,,
03/05/2025,"Barfly, Chania",Mythos,1,£4.24,"Sam, Hayden, Matt O, James R, Matt M, Jonny, Charlie M, Tim, Dave M, Jack, Sam G",,£4.24,,,
04/05/2025,"Three, Chania",Mythos,3,£4.24,"Sam, Hayden, Matt O, James R, Matt M, Jonny, Charlie M, Tim, Dave M, Jack, Sam G",,£12.72,,,
07/05/2025,"Duke of Wellington, Haggerston",Guinness,4,£6.00,"Laurie, Tor, Jess",Arsenal lost to PSG,£24.00,,,
09/05/2025,"Hackney Church Brewery, Hackney",Renaissance ,5,£3.50,"Alex, Dan R, Saz, Daniel R",,£17.50,,,
10/05/2025,"Hand and Spear, Weybridge",Guinness,2,£7.35,"Mike, Ash, Pablo",Exceptional guinness,£14.70,,,
10/05/2025,"The Ram, Kingston",Jubel,1,£6.00,"Mike, Ash, Pablo",,£6.00,,,
10/05/2025,"The Ram, Kingston",Guinness,4,£6.00,"Mike, Ash, Pablo",,£24.00,,,
10/05/2025,"Cappadocia, Kingston",Cobra,2,£6.95,"Mike, Ash, Pablo",,£13.90,,,
10/05/2025,"Howl at the Moon, Hoxton",Murphy,1,£5.00,"Dan P, Liam",,£5.00,,,
15/05/2025,"London Hospital Tavern, Whitechapel",Guinness,3,£7.00,"Laurie, Tor, Els",,£21.00,,,
16/05/2025,"Picture House Central, Picadilly",Camden Pale,3,£6.00,Noah,Picture house central roofbar,£18.00,,,
16/05/2025,"The Coin Laundry, Exmouth Market",Siren,3,£0.00,,Ash's wedding,£0.00,,,
16/05/2025,"The Coin Laundry, Exmouth Market",Yeastie Boys,2,£0.00,,,£0.00,,,
16/05/2025,"The Coin Laundry, Exmouth Market",Lager,1,£0.00,,,£0.00,,,
18/05/2025,"Royal Inn on the Park, Victoria Park",Guinness,1,£7.00,"Finn, Anna, Jo H, Dan R, Issy, Dan P, Tom M, Guy, Sachin, Claud, Roisin, Rick, Lynn, Tor, Laurie, Alex, ",Hackney Half,£7.00,,,
19/05/2025,"Duke of Somerset, Aldgate",Guinness,3,£6.70,"Rosalin, Charlotte B, Kit, Georgie",,£20.10,,,
22/05/2025,"Crown and Two Chairmen, Soho",Guinness,2,£7.50,"Kit, Tan, Robbie, Georgie, Charlotte M, Beth, Ruby, Ellen",,£15.00,,,
22/05/2025,"Crown and Two Chairmen, Soho",Guinness,1,£7.50,"Tan, Robbie, Georgie, Charlotte M, Beth, Ruby, Ellen",,£7.50,,,
22/05/2025,"The Myddelton Arms, Essex Road",Guinness,3,£6.80,Dan P,,£20.40,,,
